National Database Number,Common Name,Species,State,Observation Date,Length,Latitude,Longitude,
SE-2013-1151928,"Whale, humpback",novaeangliae,NC,2013-10-16,1140,35.42082,-75.48455,
SE-2013-1151948,"Whale, sperm",macrocephalus,LA,2013-08-20,0,27.4672,-89.997283,
SE-2013-1152839,"Whale, sperm",macrocephalus,FL,2013-10-31,976,27.78779,-82.788872,
SE-2013-1154515,"Whale, humpback",novaeangliae,NC,2013-12-16,893,35.71573,-75.49192,
SE-2013-1157103,"Whale, sperm",macrocephalus,FL,2013-09-22,0,24.690217,-80.970033,
SE-2013-1157400,"Whale, humpback",novaeangliae,VI,2013-02-23,762,17.71526,-64.65027,
SE-2014-1155389,"Whale, sperm",macrocephalus,FL,2014-01-10,1050,26.38393,-80.06659,
SE-2014-1155717,"Whale, humpback",novaeangliae,FL,2014-03-02,0,29.094877,-80.950118,
SE-2014-1156230,"Whale, sei",borealis,NC,2014-03-29,668,34.60993,-76.538931,
SE-2014-1156451,"Whale, minke",acutorostrata,NC,2014-04-16,331,35.91805,-75.60056,
SE-2014-1156853,"Whale, right, North Atlantic",glacialis,FL,2014-02-16,432,30.39702,-80.734435,
SE-2014-1158391,"Whale, sperm",macrocephalus,FL,2014-01-02,420,25.081994,-80.40395,
SE-2014-1158392,"Whale, sperm",macrocephalus,FL,2014-01-30,0,25.370467,-80.311567,
SE-2014-1158673,"Whale, humpback",novaeangliae,FL,2014-04-12,950,30.15731,-81.35431,
SE-2014-1160133,"Whale, sperm",macrocephalus,TX,2014-10-07,800,26.72902,-93.67397,
SE-2014-1168831,"Whale, sperm",macrocephalus,FL,2014-10-11,370,29.260208,-81.022831,
SE-2014-1169843,"Whale, humpback",novaeangliae,NC,2014-12-05,1040,36.244297,-75.778393,
SE-2014-1170453,"Whale, sperm",macrocephalus,FL,2014-12-31,240,26.796361,-79.880222,
SE-2015-1170556,"Whale, humpback",novaeangliae,NC,2015-02-03,894,36.37608,-75.823452,
SE-2015-1172294,"Whale, minke",acutorostrata,NC,2015-05-09,400,36.21228,-75.76422,
SE-2015-1177685,"Whale, humpback",novaeangliae,NC,2015-10-20,960,35.71375,-7549114,
SE-2015-1180438,"Whale, humpback",novaeangliae,NC,2015-12-14,1095,35.19993,-75.71585,
SE-2015-1184580,"Whale, sei",borealis,TX,2015-12-22,1326,29.126196,-95.059818,
SW-2005-1044077,"Whale, gray",robustus,CA,2005-04-10,1080,41.8,-124.233333,
SW-2005-1052799,"Whale, killer",orca,CA,2005-12-07,232,34.1769486,-119.2312458,
SW-2005-1056721,"Whale, gray",robustus,CA,2005-04-19,0,36.9313183,-121.8618968,
SW-2005-1056723,"Whale, gray",robustus,CA,2005-04-20,712,36.84702,-121.80863,
SW-2005-1056725,"Whale, gray",robustus,CA,2005-04-22,607,36.9504774,-121.8796532,
SW-2005-1257024,"Whale, gray",robustus,CA,2005-02-22,705,38.1889,-122.9364,
SW-2005-1257031,"Whale, humpback",novaeangliae,CA,2005-08-13,1150,37.457,-122.4454,
SW-2005-1257055,"Whale, humpback",novaeangliae,CA,2005-12-11,1370,37.7296,-122.8788,
SW-2006-1056383,"Whale, gray",robustus,CA,2006-04-04,914,34.01,118.42,
SW-2006-1056405,"Whale, gray",robustus,CA,2006-03-15,880,36.773,-121.798889,
SW-2006-1056895,"Whale, minke",acutorostrata,CA,2006-04-15,550,35.2903922,-120.8966977,
SW-2006-1057085,"Whale, gray",robustus,CA,2006-04-16,944,34.02,118.53,
SW-2006-1057269,"Whale, gray",robustus,CA,2006-05-13,762,33,-117.283333,
SW-2006-1057331,"Whale, humpback",novaeangliae,CA,2006-05-09,860,34.41004,-119.76738,
SW-2006-1058499,"Whale, humpback",novaeangliae,CA,2006-06-18,1180,36.16,121.51,
SW-2006-1058547,"Whale, gray",robustus,CA,2006-02-01,360,34.23,-119.42,
SW-2006-1063117,"Whale, humpback",novaeangliae,CA,2006-11-15,762,33.128718,-117.333655,
SW-2006-1064545,"Whale, gray",robustus,CA,2006-02-10,876,33.7155394,0,
SW-2006-1184966,"Whale, gray",robustus,CA,2006-04-07,1062,41.224778,-124.108372,
SW-2006-1189349,"Whale, gray",robustus,CA,2006-09-10,710,38.38421,-123.08293,
SW-2006-1189614,"Whale, gray",robustus,CA,2006-04-20,1400,37.827,-122.423,
SW-2006-1192047,"Whale, gray",robustus,CA,2006-04-12,222,32.55,-117.31,
SW-2007-1065955,"Whale, gray",robustus,CA,2007-02-02,500,36.770556,-121.799167,
SW-2007-1066071,"Whale, sperm",macrocephalus,CA,2007-04-08,999,34.4137,-119.8396,
SW-2007-1066107,"Whale, minke",acutorostrata,CA,2007-04-16,408,34.26668,-119.27793,
SW-2007-1066643,"Whale, gray",robustus,CA,2007-04-23,880,35.44692,-120.94125,
SW-2007-1066771,"Whale, gray",robustus,CA,2007-03-23,522,334546,1181005,
SW-2007-1066943,"Whale, gray",robustus,CA,2007-04-02,800,36.34,121.57,
SW-2007-1069597,"Whale, gray",robustus,CA,2007-05-11,0,36.95380556,-121.885956,
SW-2007-1069607,"Whale, gray",robustus,CA,2007-04-27,0,36.95623,-121.97085,
SW-2007-1070475,"Whale, blue",musculus,CA,2007-09-11,2400,34.3372,-119.41,
SW-2007-1070579,"Whale, blue",musculus,CA,2007-09-19,2120,34.162317,-119.466933,
SW-2007-1071085,"Whale, fin",physalus,CA,2007-02-07,1925,39.6083,-123.784994,
SW-2007-1072169,"Whale, blue",musculus,CA,2007-11-30,2195,34.0648,-120.3715,
SW-2007-1077259,"Whale, humpback",novaeangliae,CA,2007-05-09,1600,38.560323,-121.558593,
SW-2007-1077261,"Whale, humpback",novaeangliae,CA,2007-05-09,500,38.560323,-121.558593,
SW-2007-1078181,"Whale, gray",robustus,CA,2007-05-23,750,37.923,-122.39,
SW-2007-1078385,"Whale, sperm",macrocephalus,CA,2007-05-28,390,38.118,-122.959,
SW-2007-1079409,"Whale, gray",robustus,CA,2007-06-01,950,37.825,-122.49299,
SW-2007-1080195,"Whale, fin",physalus,CA,2007-06-13,1435,33.42,118.03,
SW-2007-1081571,"Whale, gray",robustus,CA,2007-06-22,1,39.376933,-123.819313,
SW-2007-1081697,"Whale, gray",robustus,CA,2007-06-25,609,37.993,-122.973,
SW-2007-1086845,"Whale, blue",musculus,CA,2007-09-08,2195,33.74722,-118.22083,
SW-2007-1087179,"Whale, humpback",novaeangliae,CA,2007-09-30,900,37.654,-122.493,
SW-2007-1087289,"Whale, gray",robustus,CA,2007-10-07,312,,,
SW-2007-1087349,"Whale, humpback",novaeangliae,CA,2007-10-11,1245,37.974,-122.795,
SW-2007-1087361,"Whale, humpback",novaeangliae,CA,2007-10-11,1310,37.666,-122.495,
SW-2007-1087721,"Whale, humpback",novaeangliae,CA,2007-12-14,1,,,
SW-2008-1073951,"Whale, gray",robustus,CA,2008-02-04,1380,34.33821,-119.41263,
SW-2008-1083541,"Whale, humpback",novaeangliae,CA,2008-11-04,930,,,
SW-2008-1085073,"Whale, humpback",novaeangliae,CA,2008-05-26,1240,36.85475,-121.81371,
SW-2008-1088523,"Whale, sperm",macrocephalus,CA,2008-02-01,440,41.744458,-124.17321,
SW-2008-1088663,"Whale, gray",robustus,CA,2008-02-07,517,33.647848,-117.990956,
SW-2008-1088957,"Whale, sperm",macrocephalus,CA,2008-02-25,1084,40.28861,-124.355542,
